source target sign
ATF1 APEX1 +
ATF1 FOS -
ATF1 CCND3 -
ATF1 YY1 +
ATF1 TGM1 +
ATF1 TCRA -
ATF1 TGFBR2 +
ATF1 CEBPB +
ATF1 SFRP4 +
ATF1 PCNA +
SFPI1 AIF1 +
SFPI1 MYB +
SFPI1 CD14 -
SFPI1 PRG3 +
SFPI1 IL12B -
SFPI1 ENPEP -
SFPI1 RB1 +
SFPI1 CAMK1D -
SFPI1 ITGAM -
SFPI1 HGF -
SFPI1 PLAU +
SFPI1 MET -
SFPI1 PTGS2 +
SFPI1 ITGB2 +
SFPI1 CTSK +
SFPI1 CSF2RA -
SFPI1 TAL1 -
SFPI1 AIFM2 -
SFPI1 FLII -
SFPI1 HESX1 -
SFPI1 SLC11A1 -
SFPI1 BCL2 -
SFPI1 DAB2 +
SFPI1 LTF -
SFPI1 CSF3R -
SFPI1 IL4 +
SFPI1 G6PD2 +
SFPI1 FCGR1 -
SFPI1 GYPA +
SFPI1 MSR1 -
SFPI1 CSF1R +
SFPI1 EBI3 -
SFPI1 PTPRC +
SFPI1 MSMB -
SFPI1 GSC +
SFPI1 ELANE -
SFPI1 MMP13 +
SFPI1 SFPI1 +
SFPI1 GPD2 -
SFPI1 TLR4 +
SFPI1 HES1 -
SFPI1 NFKB1 -
SFPI1 FCGR3 +
SFPI1 FLI1 +
SFPI1 ACP5 +
SFPI1 PIP -
SFPI1 LY9 -
SFPI1 IL5RA -
SFPI1 TBP +
SFPI1 MRC1 -
SFPI1 CD72 -
SFPI1 IGJ +
SFPI1 IL12RB1 -
NPAS2 PER3 +
NPAS2 RORA +
NPAS2 NR1D1 -
NPAS2 PER2 -
NPAS2 RORC +
NPAS2 RORB +
NPAS2 BHLHE40 +
NPAS2 BHLHE41 +
NPAS2 PER1 +
NPAS2 CRY1 -
NPAS2 CRY2 -
CEBPE NOL3 +
CEBPE SFPI1 -
CEBPE GATA1 +
CEBPE MYC +
SMAD7 COL5A1 -
SMAD7 COL3A1 +
SMAD7 MUC4 +
SMAD7 ACVR1B -
SMAD7 COL1A1 +
MYBL2 LOX +
MYBL2 FGF4 -
MYBL2 UCHL1 +
MYBL2 SFTPA1 +
MYBL2 PLA2G4A -
MYBL2 COL1A1 -
MSX1 ID1 +
MSX1 CGA +
STAT6 NCOA3 +
STAT6 IL6 +
STAT6 TNF -
STAT6 SOCS7 -
STAT6 MYC -
STAT6 CCND2 -
STAT6 IL1R1 +
STAT6 CCND3 -
STAT6 SOCS2 -
STAT6 PIM1 +
STAT6 IGHG1 +
STAT6 ITGB3 -
STAT6 SOCS4 -
STAT6 SOCS3 -
STAT6 SOCS1 -
STAT6 CCND1 -
STAT6 SOCS5 -
STAT6 ADAM8 +
POU3F2 TNC +
POU3F2 SERPINE2 -
POU3F2 CITED1 +
SP1 IL10 -
SP1 PRDX3 -
SP1 LDLR -
SP1 SLC19A1 +
SP1 RAG2 +
SP1 MDH2 -
SP1 CD5 +
SP1 SLC2A4 -
SP1 STAT3 +
SP1 MET -
SP1 IL3RA -
SP1 MBP -
SP1 BAK1 +
SP1 COL1A2 -
SP1 MAPK1 +
SP1 ST6GALNAC2 +
SP1 MSX1 +
SP1 MERTK -
SP1 CHGB +
SP1 AKR1B7 +
SP1 CSRP2 +
SP1 LGALS1 -
SP1 GSTM2 +
SP1 PTX3 -
SP1 FASL -
SP1 KIT -
SP1 AHRR +
SP1 MT3 +
SP1 COL4A1 +
SP1 CCL2 +
SP1 TYMS -
SP1 UCP2 +
SP1 SSTR2 -
SP1 LCN8 +
SP1 TAPBP -
SP1 PDIA4 +
SP1 PGK1 -
SP1 PTGER2 -
SP1 BACH1 -
SP1 NES +
SP1 OPRD1 +
SP1 SLC26A2 -
SP1 FCGR2B -
SP1 ETV2 +
SP1 MMP9 +
SP1 DCK -
SP1 SLC6A4 +
SP1 REN1 +
SP1 ADAR -
SP1 HSP90AA1 +
SP1 TBXA2R +
SP1 PRF1 +
SP1 HPN -
SP1 HTR3A -
SP1 APRT +
SP1 FAS +
SP1 IL13 +
SP1 ATP2A3 -
SP1 BSG +
SP1 CPT1B +
SP1 PER1 +
SP1 EPOR -
SP1 HSPA1B +
SP1 MYH11 +
SP1 POU5F1 -
SP1 CYP26A1 +
SP1 BRCA1 +
SP1 JUND -
SP1 RAC2 +
SP1 HCK +
SP1 GDNF +
SP1 CDH1 -
SP1 HRAS1 +
SP1 CBX2 -
SP1 F3 +
SP1 DLC1 +
SP1 ABCD2 +
SP1 HTT -
SP1 NEURL1A -
SP1 NOL3 -
SP1 MUC2 +
SP1 SRF +
SP1 TNFRSF8 -
SP1 PPIA -
SP1 OLFR54 +
SP1 COL1A1 -
SP1 CITED1 -
SP1 SIX5 +
SP1 NPR1 -
SP1 VDR +
SP1 HOXA4 +
SP1 CASP9 +
SP1 SPINK3 -
SP1 NEU1 +
SP1 RGN -
SP1 CD14 +
SP1 MYC -
SP1 REL -
SP1 CDKN2B +
SP1 PSAP -
SP1 BAX +
SP1 MYH2 -
SP1 PLAU -
SP1 CDK1 +
SP1 PKD1 +
SP1 NKX3-1 +
SP1 MDH1 +
SP1 H19 +
SP1 UGCG -
SP1 DFFB -
SP1 CLDN19 -
SP1 PDPN +
SP1 CD24A -
SP1 LTF -
SP1 IL2 -
SP1 ABCC1 +
SP1 MMP28 -
SP1 NCAM1 -
SP1 GYG +
SP1 DLX3 -
SP1 PENK +
SP1 CTSL +
SP1 FGL2 +
SP1 COX4I1 +
SP1 GGH +
SP1 NEFM +
SP1 PRPH -
SP1 NF1 +
SP1 TK1 +
SP1 CHGA +
SP1 HDAC1 +
SP1 TNFRSF10B -
SP1 PLAT +
SP1 COL7A1 -
SP1 PCYT1A +
SP1 CKMT1 -
SP1 ITGAV +
SP1 TNFSF15 -
SP1 GRIN2B +
SP1 TAL1 -
SP1 MAPK3 -
SP1 CD34 -
SP1 YY1 -
SP1 CDH5 -
SP1 CDC25A -
SP1 CCND1 -
SP1 TGFB3 +
SP1 LHCGR +
SP1 SCD2 +
SP1 BIRC5 +
SP1 NQO2 -
SP1 ALPL +
SP1 THY1 +
SP1 MMP2 -
SP1 PTTG1 +
SP1 DHFR +
SP1 PAX8 +
SP1 SYN2 +
SP1 PKD2 +
SP1 PRM2 +
SP1 HBA-A1 -
SP1 IFNGR2 +
SP1 MYOD1 -
SP1 SFPI1 -
SP1 CCL17 +
SP1 ZFP354C +
SP1 VIM +
SP1 TEAD2 -
SP1 TAGLN +
SP1 BDKRB1 -
SP1 MT1 +
SP1 MTCH1 +
SP1 RHOB +
SP1 FST -
SP1 CCND2 -
SP1 CCND3 -
SP1 TGM1 +
SP1 CD79B +
SP1 BCL3 +
SP1 ACTA1 +
SP1 SETDB1 -
SP1 AHR +
SP1 NUP210 -
SRF FOS -
RELA TRAF4 +
RELA EP300 -
RELA MYB +
RELA IL12A +
RELA BCL2A1D -
RELA MYC +
RELA IL12B +
RELA FIGF -
RELA CXCL9 +
RELA HIF1A +
RELA TRAF5 +
RELA NFKBIA -
RELA CCL4 +
RELA ATP12A -
RELA CASP8 -
RELA IL2RA -
RELA SH2D3C -
RELA CHAT +
RELA CCND1 -
RELA PTGS2 +
RELA CEBPB +
RELA TRAF3 +
RELA VEGFC -
RELA FAS -
RELA PPARA -
RELA BIRC7 +
RELA IL6 -
RELA NOS2 +
RELA TNFAIP3 +
RELA RELB +
RELA BIK +
RELA PCNA -
RELA VEGFA -
RELA BCL2L1 -
RELA IL1B -
RELA BIRC3 +
RELA MMP9 -
RELA AKT1 -
RELA GADD45B -
RELA TERT -
RELA PGF +
RELA CEBPG +
RELA IFNB1 +
RELA FASL -
RELA REL -
RELA EBI3 +
RELA CXCL10 +
RELA BIRC2 -
RELA F3 +
RELA OLFR54 +
RELA TNF +
RELA SOCS3 +
RELA PLAU -
RELA TRAF1 +
RELA CCL2 -
RELA BCL2A1B -
RELA AFP +
RELA BCL2A1A +
RELA XIAP -
RELA BCL2 +
RELA IL23A +
RELA WT1 +
RELA IL18 -
RELA NFKB2 -
RELA TRAF2 -
RELA CXCL1 +
RELA TNFRSF10B +
RELA VEGFB +
RELA TRAF6 -
RELA CXCL2 +
RELA IL2 +
RELA SMAD7 +
RELA BLK -
RELA NOL3 -
RELA IL1A +
RELA TNFSF15 -
RELA VCAM1 +
RELA BCL2A1C +
TRP53 RET +
TRP53 TRAF4 -
TRP53 SIAH2 -
TRP53 HRAS1 -
TRP53 ABCB1A +
TRP53 HNRNPAB +
TRP53 TYR +
TRP53 WRN +
TRP53 DAGLB +
TRP53 SERPINE1 -
TRP53 CYP1B1 -
TRP53 2300009N04RIK +
TRP53 BAX +
TRP53 APAF1 -
TRP53 SFN +
TRP53 ERBB2 +
TRP53 MET -
TRP53 PTGS2 -
TRP53 RFWD2 -
TRP53 NKX3-1 +
TRP53 PERP -
TRP53 PIAS3 -
TRP53 DDB2 -
TRP53 AQP3 +
TRP53 GADD45G -
TRP53 CDC42 -
TRP53 PRODH +
TRP53 SHISA5 -
TRP53 PMAIP1 +
TRP53 RHOA +
TRP53 PML -
TRP53 AKT1 -
TRP53 SCN3B +
TRP53 PPM1D -
TRP53 CSN3 +
TRP53 TERC -
TRP53 RHOB +
TRP53 GJA5 +
TRP53 SESN1 -
TRP53 IRS3 +
TRP53 KIT +
TRP53 AAMP +
TRP53 EI24 -
TRP53 SSRP1 -
TRP53 S100A4 -
TRP53 SPP1 -
TRP53 SIAH1A +
TRP53 CD82 +
TRP53 RPRM -
TRP53 BAI1 +
TRP53 ING1 -
TRP53 STMN1 +
TRP53 POLK -
TRP53 ABCB1B -
TRP53 HIC1 -
TRP53 TNFRSF10B -
TRP53 TRP53INP1 +
TRP53 CABLES1 -
TRP53 TYRP1 -
TRP53 CDKN1B -
TRP53 CCNB1 -
TRP53 UPP1 +
TRP53 CDKN2A +
TRP53 CCNG2 -
TRP53 PPIA +
TRP53 CDKN1A -
TRP53 TEP1 -
TRP53 CHEK2 -
TRP53 GLIPR1 +
TRP53 FDXR -
TRP53 BDKRB2 -
TRP53 ATM -
TRP53 ZMAT3 +
TRP53 FKBP3 -
TRP53 PLK3 +
TRP53 EGFR +
TRP53 CSNK2A2 +
TRP53 CDC25C +
TRP53 SESN3 -
TRP53 IGFBP3 -
TRP53 CHEK1 -
TRP53 DNMT1 -
TRP53 CCND1 +
TRP53 THBS1 -
TRP53 MGMT +
TRP53 FAS -
TRP53 DDIT4 +
TRP53 BIRC5 +
TRP53 NOS2 +
TRP53 EEF1A2 -
TRP53 HIPK1 -
TRP53 EXPI +
TRP53 EGR1 -
TRP53 RRM2 +
TRP53 MMP2 +
TRP53 EEF1A1 -
TRP53 PIK3CA -
TRP53 MDM4 -
TRP53 BCL2 +
TRP53 LRDD +
TRP53 GSN -
TRP53 STEAP3 +
TRP53 GTSE1 -
TRP53 GADD45B +
TRP53 TERT -
TRP53 SGPP1 -
TRP53 SIRT1 -
TRP53 RCHY1 +
TRP53 BBC3 +
TRP53 TSC2 +
TRP53 INHA +
TRP53 TRP73 +
TRP53 PSRC1 +
TRP53 SIAH1B +
TRP53 BANP +
TRP53 GDF15 -
TRP53 RRM2B +
TRP53 CABLES2 +
TRP53 MKI67 -
TRP53 TRP63 +
TRP53 TOPORS +
TRP53 CCNG1 -
TRP53 MDM2 -
TRP53 SESN2 +
TRP53 GADD45A +
TRP53 SERPINB5 +
TRP53 EPHA2 +
TRP53 KRT19 +
TRP53 ACTA1 +
TRP53 RAMP2 +
TRP53 PTEN -
TRP53 MAPK3 +
POU3F3 SERPINE2 +
MAPK14 IL1B +
MAPK14 IL6 +
MAPK14 NOS2 -
MAPK14 IL12A -
MAPK14 TNF -
MAPK14 IL23A -
MAPK14 IL12B -
MAPK14 IL1A +
MAPK14 IL18 +
HOXA1 CD47 -
HOXA1 NCAM1 +
HOXA1 PAX3 +
HOXA1 REN1 -
HOXA1 ERF -
HOXA1 ETF1 -
HOXA1 NKX2-5 -
HOXA1 GCM2 +
HOXA1 GCM1 -
HOXA1 L1CAM +
HOXA1 ZFP192 +
HOXA1 ITGA8 -
HOXA1 GAD1 +
HOXA1 CCNG1 +
HOXA1 HOXB1 +
HOXA1 HOXB2 -
HOXA1 CTSL -
HOXA1 PDGFA +
HOXA1 ANXA1 +
HOXA1 EPHA2 +
HOXA1 MYL1 -
HOXA1 CCNG2 +
RFXANK CD74 +
RFXANK H2-DMB2 +
RFXANK H2-OA -
RFXANK H2-DMB1 -
RFXANK H2-EB1 -
RFXANK H2-AB1 +
RFXANK H2-AA +
RFXANK H2-DMA +
RFXANK H2-EA-PS +
RFXANK H2-OB -
MITF TYRP1 +
MITF TYR +
MITF DCT -
SP2 UCP2 +
SP2 MT3 -
SP2 PCYT1A +
SP2 HSPA1B +
SP2 ALOX8 +
EPAS1 VEGFC +
EPAS1 TGFB1 -
EPAS1 PGF +
EPAS1 PDGFB -
EPAS1 FIGF -
EPAS1 IKBKG +
EPAS1 SLC2A1 -
EPAS1 TGFB2 -
EPAS1 FLT1 -
EPAS1 KDR -
EPAS1 VEGFB -
EPAS1 TGFA -
EPAS1 VEGFA -
EPAS1 TEK -
EPAS1 PDGFA -
EPAS1 RETNLA -
EPAS1 TGFB3 -
PAX5 VPREB1 -
PAX5 RAG2 -
PAX5 BLK -
PAX5 BIK +
HOXA7 GAL +
HOXA7 GGTA1 +
PIAS2 CDKN2B -
CREM STAR +
NFATC1 TNF +
CEBPB IL10 +
CEBPB DMBT1 -
CEBPB PPARG +
CEBPB IL12B +
CEBPB PTGS1 -
CEBPB SAA3 -
CEBPB TRP53-PS -
CEBPB APCS -
CEBPB NUPR1 +
CEBPB HGF +
CEBPB MET -
CEBPB IGHG1 -
CEBPB ORM1 +
CEBPB CRIP2 +
CEBPB IL6 +
CEBPB CRP +
CEBPB PCK1 -
CEBPB C3 -
CEBPB CDKN1A -
CEBPB NOS2 +
CEBPB COL1A1 +
CEBPB PTGS2 -
CEBPB KRT10 -
CEBPB MMP13 -
CEBPB SCGB1A1 +
CEBPB SOD2 +
CEBPB CCL3 +
CEBPB ABCB1B -
CEBPB OTC -
MAPK1 IL6 -
MAPK1 PDYN -
MAPK1 CDK4 +
MAPK1 IL12A -
MAPK1 IL23A +
MAPK1 IL12B +
MAPK1 NOS2 +
MAPK1 LOC640611 -
MAPK1 IL18 +
MAPK1 TNF -
MAPK1 IL1B -
MAPK1 IL1A -
MAPK1 CCND1 +
MAFA INS2 -
MAFA INS1 +
MAFA PDX1 +
ARNT VEGFB -
ARNT LOC100042025 +
ARNT TFRC +
ARNT PFKFB2 -
ARNT GAPDH +
ARNT ANGPT2 +
ARNT SLC2A1 -
ARNT SERPINE1 -
ARNT SUMO1 +
ARNT GM5506 +
ARNT LOC100048117 -
ARNT HKDC1 -
ARNT HK2 +
ARNT PDK1 +
ARNT VEGFC +
ARNT ANGPT1 +
ARNT HMOX1 -
ARNT EPO +
ARNT NOS2 +
ARNT ENO2 -
ARNT CDKN1A +
ARNT VEGFA -
ARNT BCL2 +
ARNT TRF +
ARNT FIGF +
ARNT PFKFB3 -
ARNT PGF -
ARNT NOS3 -
ARNT PFKFB1 -
ARNT FLT1 +
ARNT ENO3 +
ARNT NPPA -
ARNT ANGPT4 +
ARNT ENO1 +
ARNT TIMP1 +
ARNT HK1 -
ARNT PFKL -
ARNT SENP2 +
ARNT LTBR -
ARNT ALDOA -
ARNT EGF -
ARNT EDN1 +
ARNT CDKN1B +
