source target sign
ROB ACRB +
HIPB HIPA -
HIPB HIPB -
HIPB FADH -
RSTA CSGG -
RSTA ASR +
RSTA CSGE -
RSTA CSGF -
RSTA CSGD -
RCSB RSEA +
RCSB YDEP +
RCSB RSEB +
RCSB RPOE +
RCSB BDM +
RCSB GADA -
RCSB RSEC +
RCSB SRA +
RCSB GADX -
RCSB OSMC +
FLIZ MDTF -
FLIZ GADB -
FLIZ OSMY -
FLIZ GADC -
FLIZ PDER -
FLIZ MLRA -
FLIZ HDEA -
FLIZ CSGE -
FLIZ CSGG -
FLIZ YHID -
FLIZ FLHD -
FLIZ CSGF -
FLIZ CSGD -
FLIZ FLHC -
FLIZ HDEB -
FLIZ GADF -
FLIZ MDTE -
FLIZ GADE -
TYRR AROL -
TYRR MTR +
TYRR AROG -
TYRR TYRB -
TYRR AROM -
TYRR AROP -
TYRR YAIA -
TYRR FOLA +
ACRR MARA -
ACRR MARB -
ACRR SOXR -
ACRR SOXS -
ACRR MARR -
SOXR FUMC +
SOXR SOXR -
SOXR SOXS +
STPA SSRS -
STPA FAU -
IHF NUON -
IHF HYCH +
IHF PAAB +
IHF NRFA -
IHF YIAJ -
IHF CYSJ +
IHF OMPR -
IHF GLTB +
IHF PSTC +
IHF DMSB -
IHF SSUB +
IHF NUOH -
IHF CYSH +
IHF NRFE -
IHF CSGD +
IHF DMSA -
IHF SSUC -
IHF PAAF +
IHF HYPA +
IHF SUFS +
IHF PHOU +
IHF NUOG -
IHF ACEA +
IHF ILVX -
IHF NIRC +
IHF ILVG_2 -
IHF YJBE +
IHF CSGG +
IHF GLPT -
IHF HYPC +
IHF ACEK +
IHF NUOA -
IHF HYCD +
IHF DUSB +
IHF PAAH +
IHF NUOK -
IHF GLNH +
IHF SSUE -
IHF FNR +
IHF GLNQ +
IHF SUFE +
IHF GLTF +
IHF SSUD -
IHF PAAK +
IHF HYPB +
IHF ILVG_1 -
IHF PAAZ +
IHF HYCB +
IHF PAAJ +
IHF CYSI +
IHF ILVL -
IHF NUOI -
IHF HYPD +
IHF NRFB -
IHF NUOE -
IHF PAAE +
IHF PAAC +
IHF SGBE +
IHF DMSC -
IHF YIAL +
IHF ENVZ -
IHF NIRD +
IHF PSTS +
IHF GLTD +
IHF YIAK +
IHF NRFD -
IHF HYCA +
IHF PAAG +
IHF NARK +
IHF NUOJ -
IHF ILVA +
IHF FIMB +
IHF PROW +
IHF YJBF +
IHF YIAN +
IHF PSTB +
IHF NUOF -
IHF GLNP +
IHF NORW -
IHF SUFC +
IHF NRFF -
IHF NUOC -
IHF CSGE +
IHF SUFA +
IHF YIAM +
IHF YJBH +
IHF SGBH +
IHF SSUA -
IHF SGBU +
IHF HYCG +
IHF PSTA +
IHF ILVE +
IHF SUFD +
IHF YJBG +
IHF SODA -
IHF ILVM +
IHF RPOH +
IHF HYCF +
IHF IHFB -
IHF NRFC -
IHF FIS +
IHF NUOL -
IHF PAAI +
IHF GLMY +
IHF NRFG -
IHF HYCE +
IHF CSGF +
IHF YIAO +
IHF PROX +
IHF PAAD +
IHF NIRB +
IHF ILVD -
IHF ACEB +
IHF LYXK +
IHF HYCC +
IHF FHLA +
IHF PAAA +
IHF IHFA -
IHF NORV -
IHF GLPQ -
IHF SUFB +
IHF CYSG +
IHF NUOB -
IHF NUOM -
IHF PROV +
IHF HYPE +
IHF HYCI +
OMPR PGAA -
OMPR PGAB -
OMPR PGAD -
OMPR OMPF -
OMPR DTPA +
OMPR PGAC -
OMPR CSGE +
OMPR BOLA -
OMPR CSGF +
OMPR CSGD +
OMPR OMPC +
OMPR MICF +
OMPR CSGG +
CADC CADB +
CADC CADA +
CRP GLGP +
CRP GLPR +
CRP BHSA -
CRP PAAB +
CRP LSRF +
CRP YIAJ -
CRP LSRD +
CRP PRPE +
CRP GLTB -
CRP ARAA +
CRP AGAA +
CRP CSRC -
CRP GLPD +
CRP ILVB +
CRP GCVP +
CRP UGPQ +
CRP HFQ -
CRP FLHC +
CRP GADF -
CRP PRPR +
CRP PAAF +
CRP TRXA -
CRP GADE -
CRP NANA +
CRP NANE +
CRP CRP +
CRP UGPC +
CRP PNP -
CRP MTLA +
CRP GLPG +
CRP CYAA -
CRP DEOB +
CRP GCVH +
CRP RSEC +
CRP MCAS +
CRP LYXK +
CRP ARAB +
CRP GPSA +
CRP METY -
CRP NUSA -
CRP PAAK +
CRP IVBL +
CRP GNTT +
CRP SECB +
CRP MAZE +
CRP MDTF -
CRP NUPG +
CRP UGPA +
CRP CASE -
CRP LSRC +
CRP DUSB +
CRP PAAH +
CRP PROP +
CRP PAAA +
CRP MTLR +
CRP RPOE +
CRP OMPR +
CRP LSRB +
CRP GLTF -
CRP ARAF +
CRP UGPE +
CRP YIAM +
CRP RELA +
CRP MDTE -
CRP CASB -
CRP ASCF +
CRP LSRR +
CRP CAS1 -
CRP PAAJ +
CRP TAM +
CRP DEOC +
CRP CAS2 -
CRP ARGG +
CRP PAAE +
CRP NANT +
CRP FLHD +
CRP RSEA +
CRP PAAC +
CRP MAZF +
CRP FADL +
CRP SGBE -
CRP GUAA +
CRP PPIA -
CRP MHPR +
CRP GLGC +
CRP LACA -
CRP HFLX -
CRP ENVZ +
